Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Participação,Pressão na linha alta,Impacto do passe,Criação de oportunidades,Drible,Efetividade,Ameaça ofensiva,rating,percentil,rank
BEL1,2022,400146.0,Thibo Somers,Cercle Bruges,3346.0,AMC,Meio Campo,Meia,0.6472427851062148,0.0,-0.1130688700188193,0.1986181986085689,-0.2772866490233359,0.8800251459054702,0.1664480575794792,0.596,81.0,21
BEL1,2022,400153.0,Kristian Arnstad,Anderlecht,1392.0,MC,Meio Campo,Segundo Volante,-0.0337416017076465,0.0,-0.1441720247448154,-0.0020392470440246,-0.4175710019011557,0.1383096900409481,0.0095213606856462,0.368,39.0,66
BEL1,2022,400241.0,Mory Konaté,St.Truiden,2107.0,MC,Meio Campo,Segundo Volante,0.124938407689913,0.0,-0.3317125552059155,-0.1361582668509718,-0.1502067742096059,-0.5484595773983411,-0.2476516106881475,0.188,8.0,99
BEL1,2022,400303.0,Ali Gholizadeh,Sporting Charleroi,1052.0,AMC,Meio Campo,Meia,-0.1566925719237359,0.0,0.6377994758862298,-0.1361582668509718,0.5144415027522675,0.7736920357218455,0.3559544452186114,0.828,99.0,2
BEL1,2022,400306.0,Ken Nkuba,Sporting Charleroi,2209.0,DMR,Meio Campo,Primeiro Volante,-0.0911095518016918,0.0,-0.2102573900360665,0.2019018066144343,-0.2653570527741584,0.0299385065072882,0.2495253557223472,0.444,50.0,54
BEL1,2022,400364.0,Kristof D'Haene,Kortrijk,2552.0,DML,Meio Campo,Primeiro Volante,-0.1213649173080388,0.0,0.1969607134322317,-0.1361582668509718,0.4290937522709557,-0.398493551950294,-0.0482584103050235,0.45,52.0,52
BEL1,2022,400370.0,Eric-Junior Bocat,St.Truiden,1502.0,DML,Meio Campo,Primeiro Volante,-0.0572635930665725,0.0,-0.2138218613080895,-0.1361582668509718,-0.1490276221528804,-0.6164466044464934,0.0494372394499222,0.251,15.0,91
BEL1,2022,400515.0,Joren Dom,OH Leuven,1355.0,MC,Meio Campo,Segundo Volante,0.2086719362540855,0.0,-0.4302691485770556,-0.1361582668509718,-0.534413678236684,-0.5268696224172948,-0.1357385136765106,0.125,4.0,103
BEL1,2022,402104.0,Matisse Samoise,Gent,2672.0,MR,Meio Campo,Segundo Volante,-0.0692394686868738,0.0,-0.0189906026993538,-0.1361582668509718,-0.0732278823926496,-0.4878279181076612,0.0223717120077699,0.318,27.0,78
BEL1,2022,404110.0,Nicolas Madsen,Westerlo,2958.0,MC,Meio Campo,Segundo Volante,-0.018187436887379,0.0,0.210023429820416,-0.1361582668509718,0.5737427299082585,0.0150829205212378,-0.0612938465285241,0.551,73.0,30
BEL1,2022,405314.0,Hugo Siquet,Cercle Bruges,1538.0,DMR,Meio Campo,Primeiro Volante,0.0618154773960184,0.0,0.4438337365263443,-0.0147709615380521,-0.0326548527849339,0.5068817632342392,0.3052620335456397,0.66,89.0,13
BEL1,2022,407284.0,Olivier Deman,Cercle Bruges,3103.0,DML,Meio Campo,Primeiro Volante,0.0361700785170648,0.0,0.1666855888815492,-0.0759927252553319,0.1428228246617747,-0.0440626724578896,0.1725562439108866,0.508,61.0,42
BEL1,2022,407510.0,Lazare Amani,Union St.Gilloise,2762.0,MC,Meio Campo,Segundo Volante,-0.1653065616997231,0.0,-0.1351206204168357,-0.0009709565169598,-0.1419446341389716,0.2841040473023023,0.0383425808655389,0.45,53.0,51
BEL1,2022,407518.0,Nicolas Rommens,Zulte Waregem,2599.0,MC,Meio Campo,Segundo Volante,0.0728058462578205,0.0,-0.1440959555488011,-0.064325378982072,-0.1511897797161661,-0.2849993948127413,-0.0647719977970857,0.315,26.0,79
BEL1,2022,407720.0,Gary Magnée,Eupen,2360.0,MC,Meio Campo,Segundo Volante,0.0096008566974792,0.0,-0.1255176519743248,0.022056712446715,-0.0939019079811537,-0.4311368962779024,-0.1691500515913447,0.299,24.0,82
BEL1,2022,408580.0,Jackson Tchatchoua,Sporting Charleroi,1709.0,DML,Meio Campo,Primeiro Volante,-0.0455055049557881,0.0,-0.2041216854761444,-0.0269167948958691,0.182790161992309,0.4162572161121698,0.1840913253042682,0.542,68.0,35
BEL1,2022,411101.0,Daiki Hashioka,St.Truiden,2966.0,DMR,Meio Campo,Primeiro Volante,0.5456397882882215,0.0,-0.1021616917135073,-0.1361582668509718,0.0326456581167799,-0.654665760707825,0.032820742219316,0.294,22.0,84
BEL1,2022,411939.0,Mandela Keita,OH Leuven,1552.0,DMC,Meio Campo,Primeiro Volante,0.036078856138702,0.0,-0.3974867545037419,-0.0158659501169057,0.0564032841306625,-0.5148222553453925,-0.236692644649247,0.243,13.0,93
BEL1,2022,415171.0,Habib Keïta,Kortrijk,1252.0,MC,Meio Campo,Segundo Volante,-0.0288635924787406,0.0,0.0883033772602992,0.0129580874391803,-0.0035470250044403,-0.3244077807204724,-0.1390945952873861,0.377,42.0,63
BEL1,2022,420040.0,Mathias Fixelles,Westerlo,1965.0,MC,Meio Campo,Segundo Volante,-0.1200934528622532,0.0,-0.0291056589335541,0.0538607413640618,0.1732524777267447,-0.4055700402117574,-0.0798761651860607,0.391,42.0,62
BEL1,2022,420047.0,Mathieu Cachbach,RFC Seraing,1813.0,MC,Meio Campo,Segundo Volante,-0.0570630243227937,0.0,-0.3589256636937185,-0.1361582668509718,-0.1296722392186553,-0.7396232966848462,-0.2109356205051459,0.159,5.0,102
BEL1,2022,420404.0,Loïc Lapoussin,Union St.Gilloise,3009.0,DML,Meio Campo,Primeiro Volante,-0.1522815161033316,0.0,0.0789864276956995,0.0499770029110127,-0.0867031788064918,-0.5890258298678273,0.0834527650379917,0.359,37.0,68
BEL1,2022,420405.0,Senne Lynen,Union St.Gilloise,3284.0,MC,Meio Campo,Segundo Volante,-0.0806705539053408,0.0,-0.1689522927170813,-0.1361582668509718,-0.1119009558605458,-0.4928683164976754,-0.0910362228435913,0.263,17.0,89
BEL1,2022,421404.0,Nathan Bitumazala,Eupen,957.0,AMC,Meio Campo,Meia,-0.1105089313044504,0.0,-0.3816821844139003,-0.1361582668509718,-0.0328633749324161,-0.2825858770125568,-0.0360226940952346,0.286,20.0,86
BEL1,2022,422143.0,Alhassan Yusuf,Royal Antwerp,1793.0,DMC,Meio Campo,Primeiro Volante,-0.0218342691191356,0.0,-0.2098567767003697,-0.1361582668509718,0.2815898323935075,-0.2699728536678625,-0.1983648756271579,0.347,32.0,73
BEL1,2022,422197.0,Adem Zorgane,Sporting Charleroi,2964.0,MC,Meio Campo,Segundo Volante,-0.0426857035365139,0.0,0.6931225681370612,0.0528029432414072,0.4633615742669382,0.5096749021141296,0.0400666180433717,0.759,96.0,5
BEL1,2022,423869.0,Abdelkahar Kadri,Kortrijk,1319.0,MC,Meio Campo,Segundo Volante,-0.0669485966937123,0.0,0.1089171250442511,0.1469253958802951,0.3666430322458436,-0.0308792274888293,-0.1471181734951073,0.522,64.0,39
BEL1,2022,425338.0,Raphael Onyedika,Club Bruges,2615.0,MC,Meio Campo,Segundo Volante,-0.0789865402603241,0.0,-0.1724289186650722,-0.1361582668509718,0.2767851121176931,-0.3177994508569428,-0.2731694344733079,0.331,29.0,76
BEL1,2022,431539.0,Tatsuhiro Sakamoto,Oostende,2849.0,DML,Meio Campo,Primeiro Volante,-0.0094338933890766,0.0,-0.1310578046048798,-0.1361582668509718,0.1609749155812357,-0.0938378911034157,0.0719413603890804,0.419,48.0,56
BEL1,2022,431755.0,Nayel Mehssatou,Kortrijk,2029.0,MC,Meio Campo,Segundo Volante,-0.1182440984069157,0.0,-0.1747240614531556,-0.1361582668509718,0.1736577078431409,-1.1129281452601278,-0.2406226840241249,0.175,7.0,100
BEL1,2022,431791.0,Cameron Puertas,Union St.Gilloise,1103.0,MC,Meio Campo,Segundo Volante,-0.0101631199970939,0.0,-0.0959764868339751,0.5408813544410338,-0.511505129263879,0.1614287022682368,0.2030859045719731,0.496,60.0,43
BEL1,2022,432195.0,Jimmy Jeggo,Eupen,961.0,MC,Meio Campo,Segundo Volante,0.012475011219924,0.0,-0.4860895526063479,-0.1361582668509718,-0.4257567652483471,-0.7700589261327989,-0.275389462819513,0.066,3.0,104
BEL1,2022,433572.0,Bilal El Khannouss,Genk,2656.0,AMC,Meio Campo,Meia,0.0346501758648742,0.0,0.4469944932830036,-0.0658669733376922,0.5105808173654273,0.1714944223312796,0.0713223744199617,0.646,87.0,15
BEL1,2022,443088.0,Lukas Van Eenoo,Westerlo,2368.0,DMC,Meio Campo,Primeiro Volante,0.0588748387293384,0.0,-0.1721174887140083,-0.0573180322347258,-0.0437432813197386,-0.3462527461013958,-0.1124408045676325,0.311,25.0,80
BEL1,2022,443980.0,Oussama El Azzouzi,Union St.Gilloise,955.0,MC,Meio Campo,Segundo Volante,0.1135677138293037,0.0,-0.511370826017613,-0.1361582668509718,0.0028888548427568,-0.3602422118243097,-0.2425564588091585,0.218,9.0,97
BEL1,2022,445430.0,Arthur Vermeeren,Royal Antwerp,2346.0,DMC,Meio Campo,Primeiro Volante,-0.0293567670247941,0.0,-0.2535002750719025,-0.1361582668509718,0.2072395116384189,-0.1952678089064229,-0.1595133723864716,0.346,31.0,74
BEL1,2022,447459.0,Stève Mvoué,RFC Seraing,1233.0,MC,Meio Campo,Segundo Volante,0.1670903659885609,0.0,-0.351071217275493,0.0152559063617374,-0.4195098560906631,-1.195223089635768,-0.2295183565466572,0.051,2.0,105
BEL1,2022,447548.0,Amirhossein Hosseinzadeh,Sporting Charleroi,1184.0,AMC,Meio Campo,Meia,0.0037199330055085,0.0,-0.1355567527358189,0.0215222023815201,-0.1223075668019702,0.8685028051957271,0.0545877448637427,0.566,76.0,26
BEL1,2022,449357.0,Hyun-Seok Hong,Gent,3015.0,AMC,Meio Campo,Meia,-0.050079590593644,0.0,0.1953820849493916,0.1734498186735233,-0.1251198676159274,0.4331019027744349,0.241498771009311,0.608,82.0,20
BEL1,2022,454674.0,Abu Francis,Cercle Bruges,2136.0,MC,Meio Campo,Segundo Volante,0.1921517763943095,0.0,-0.0102658918852859,0.0386485454816784,0.1295639966299298,-0.3165078517264034,-0.2726868030069196,0.365,38.0,67
