Atleta,Código_Posição_Wyscout,Liga,Versão_Temporada,Posição
A. El Ouazzani,12,FRA2,2023,Atacante
A. Elanga,10,ENG1,2023,Extremo
A. Elezi,7,CRO,2023,Primeiro Volante
A. Ementa,12,DEN,2023,Atacante
A. Engels,10,BEL2,2023,Extremo
A. Engels,8,GER1,2023,Segundo Volante
A. Engwanda,4,BEL2,2023,Zagueiro
A. Ennaffati,10,MOR,2023,Extremo
A. Ennakhli,12,MOR,2023,Atacante
A. Ennakouss,12,MOR,2023,Atacante
A. Epureanu,4,TUR,2023,Zagueiro
A. Erceg,12,CRO,2023,Atacante
A. Eriksson,4,SWE,2023,Zagueiro
A. Erlingmark,7,GRE,2023,Primeiro Volante
A. Esaka,9,KOR,2023,Meia
A. Espino,1,SPA1,2023,Lateral
A. Espínola,1,PAR,2023,Lateral
A. Esswein,12,GER2,2023,Atacante
A. Estacio,10,COL,2023,Extremo
A. Et Taïbi,4,BEL2,2023,Zagueiro
A. Evans,4,IND,2023,Zagueiro
A. Ezzalzouli,10,SPA1,2023,Extremo
A. Fábry,9,ROM,2023,Meia
A. Fadera,1,BEL1,2023,Lateral
A. Famewo,1,ENG2,2023,Lateral
A. Fantiš,10,CZH,2023,Extremo
A. Farah,10,MOR,2023,Extremo
A. Farhane,4,MOR,2023,Zagueiro
A. Faris,4,INDO,2023,Zagueiro
A. Farrell,4,USA,2023,Zagueiro
A. Fatawu,11,ENG2,2023,Extremo
A. Favilli,12,ITA2,2023,Atacante
A. Fayzullaev,11,RUS,2023,Extremo
A. Fernández,10,ARG2,2023,Extremo
A. Fernández,1,PAR,2023,Lateral
A. Ferrari,4,ITA1,2023,Zagueiro
A. Figo,1,INDO,2023,Lateral
A. Figuera,8,BOL,2023,Segundo Volante
A. Fikri,10,INDO,2023,Extremo
A. Filipović,1,SER,2023,Lateral
A. Fisher,0,ENG2,2023,Goleiro
A. Fletcher,12,ENG2,2023,Atacante
A. Flips,10,FRA1,2023,Extremo
A. Florenzi,10,ITA2,2023,Extremo
A. Fofana,1,FRA2,2023,Lateral
A. Forrest,1,SCT,2023,Lateral
A. Forson,8,AUT,2023,Segundo Volante
A. Forsström,1,FIN,2023,Lateral
A. Francis,8,BEL1,2023,Segundo Volante
A. Franco,8,ARG1,2023,Segundo Volante
A. Franco,8,BRA1,2023,Segundo Volante
A. Franco,4,BRA1,2023,Zagueiro
A. Franco,10,PAR,2023,Extremo
A. Frías,4,MEX,2023,Zagueiro
A. Fukumori,4,JAP,2023,Zagueiro
A. Fukuta,7,JAP,2023,Primeiro Volante
A. Fulgini,11,FRA1,2023,Extremo
A. Fulignati,0,ITA2,2023,Goleiro
A. Gaadaoui,12,MOR,2023,Atacante
A. Gaaei,1,DEN,2023,Lateral
A. Gabelok,7,UKR,2023,Primeiro Volante
A. Gabriel,1,CZH,2023,Lateral
Á. Gabrielli,1,URU,2023,Lateral
A. Gabrielloni,12,ITA2,2023,Atacante
A. Gagliardi,12,ARG2,2023,Atacante
A. Galeano,10,PAR,2023,Extremo
A. Gallo,1,ITA1,2023,Lateral
A. Gamboa,4,CRC,2023,Zagueiro
A. Ganiev,7,UAE,2023,Primeiro Volante
A. Gantenbein,1,SWZ,2023,Lateral
A. García,10,COL,2023,Extremo
A. García,1,URU,2023,Lateral
A. Garita,12,ROM,2023,Atacante
A. Garnacho,10,ENG1,2023,Extremo
A. Georgiev,8,BUL,2023,Segundo Volante
A. Georgiev,4,BUL,2023,Zagueiro
A. Georgiev,1,BUL,2023,Lateral
A. Ghali,1,CZH,2023,Lateral
A. Gharib,10,MOR,2023,Extremo
A. Gheorghiță,12,ROM,2023,Atacante
A. Ghezala,4,ALG,2023,Zagueiro
A. Ghion,8,ITA2,2023,Segundo Volante
A. Gholizadeh,9,BEL1,2023,Meia
A. Ghouraf,4,MOR,2023,Zagueiro
A. Gianniotis,0,GRE,2023,Goleiro
A. Gianniotis,0,TUR,2023,Goleiro
A. Giay,1,ARG1,2023,Lateral
A. Gibbons,4,CRC,2023,Zagueiro
A. Gignac,12,MEX,2023,Atacante
A. Gigović,10,DEN,2023,Extremo
A. Giménez,0,BOL,2023,Goleiro
A. Giménez,1,PAR,2023,Lateral
A. Giorgini,1,ITA2,2023,Lateral
A. Gning,12,CZH,2023,Atacante
A. Godoy,8,USA,2023,Segundo Volante
A. Gogić,4,SCT,2023,Zagueiro
A. Golovin,9,FRA1,2023,Meia
A. Golubović,0,ROM,2023,Goleiro
A. Gomes,7,FRA1,2023,Primeiro Volante
A. Gómez,4,ARG2,2023,Zagueiro
A. Gómez,0,CRC,2023,Goleiro
A. Gómez,10,USA,2023,Extremo
A. Gomis,0,ITA2,2023,Goleiro
A. Gonçalves,1,FRA2,2023,Lateral
A. González,9,ARG2,2023,Meia
A. González,10,MEX,2023,Extremo
Á. González,12,PAR,2023,Atacante
A. Gorcea,0,ROM,2023,Goleiro
A. Gordon,11,ENG1,2023,Extremo
A. Gorgon,9,POL,2023,Meia
A. Gorocito,12,URU,2023,Atacante
A. Gorosito,1,ARG2,2023,Lateral
A. Gory,10,FRA2,2023,Extremo
A. Gospodinov,0,BUL,2023,Goleiro
A. Gouiri,12,FRA1,2023,Atacante
A. Granlund,1,FIN,2023,Lateral
A. Grant,4,KOR,2023,Zagueiro
A. Grassi,7,ITA1,2023,Primeiro Volante
A. Gravillon,4,TUR,2023,Zagueiro
A. Gray,1,ENG2,2023,Lateral
A. Gray,12,GRE,2023,Atacante
A. Grbić,12,FRA2,2023,Atacante
A. Greab,0,ROM,2023,Goleiro
A. Greive,12,SCT,2023,Atacante
A. Grgić,10,CRO,2023,Extremo
A. Grgić,7,SWZ,2023,Primeiro Volante
A. Griezmann,12,SPA1,2023,Atacante
A. Gritsaenko,4,RUS,2023,Zagueiro
A. Grønbæk,8,NOR,2023,Segundo Volante
A. Gruber,11,AUT,2023,Extremo
A. Guardado,7,SPA1,2023,Primeiro Volante
A. Gudiño,0,MEX,2023,Goleiro
A. Gudjohnsen,12,DEN,2023,Atacante
A. Gudmundsson,12,ITA1,2023,Atacante
A. Gudmundsson,12,ITA2,2023,Atacante
A. Guerrero,1,COL,2023,Lateral
A. Guevara,10,CRC,2023,Extremo
A. Güler,10,TUR,2023,Extremo
A. Gulomov,1,UZB,2023,Lateral
A. Gulomov,1,UZB,2023,Lateral
A. Gunn,0,ENG2,2023,Goleiro
A. Gunnarsson,4,QAT,2023,Zagueiro
A. Gürleyen,4,GER2,2023,Zagueiro
A. Gutiérrez,4,ARG2,2023,Zagueiro
A. Gutiérrez,1,COL,2023,Lateral
A. Gutman,1,USA,2023,Lateral
A. Hadidi,1,MOR,2023,Lateral
A. Hadraf,9,MOR,2023,Meia
A. Hadžiahmetović,7,TUR,2023,Primeiro Volante
A. Hagelskjær,4,NOR,2023,Zagueiro
A. Haidara,8,GER1,2023,Segundo Volante
A. Haimoud,9,MOR,2023,Meia
A. Hajdari,4,SWZ,2023,Zagueiro
A. Hakala,0,FIN,2023,Goleiro
A. Hakimi,1,FRA1,2023,Lateral
A. Halilović,9,HOL,2023,Meia
A. Hamed Allah,12,SAUD,2023,Atacante
A. Hammoudan,10,MOR,2023,Extremo
A. Hamra,4,ALG,2023,Zagueiro
A. Hanche-Olsen,4,GER1,2023,Zagueiro
A. Hansen,0,DEN,2023,Goleiro
A. Hansen,0,NOR,2023,Goleiro
A. Hansen,9,POR2,2023,Meia
A. Harlan,0,INDO,2023,Goleiro
A. Harmach,8,MOR,2023,Segundo Volante
A. Hegazy,4,SAUD,2023,Zagueiro
Á. Henríquez,12,POL,2023,Atacante
A. Hernández,10,CRC,2023,Extremo
A. Hernández,4,FIN,2023,Zagueiro
A. Hernández,12,URU,2023,Atacante
A. Hernández,8,URU,2023,Segundo Volante
A. Herrera,1,USA,2023,Lateral
A. Hickey,1,ENG1,2023,Lateral
A. Hiroš,8,CRO,2023,Segundo Volante
A. Hjulsager,9,BEL1,2023,Meia
A. Hoffmann,4,GER2,2023,Zagueiro
A. Hojabrpour,7,CAN,2023,Primeiro Volante
A. Hoskonen,4,POL,2023,Zagueiro
A. Hosseinzadeh,8,BEL1,2023,Segundo Volante
A. Hountondji,12,FRA2,2023,Atacante
A. Hoxha,10,CRO,2023,Extremo
A. Hughes,4,ENG2,2023,Zagueiro
A. Hunou,12,FRA1,2023,Atacante
A. Hurtado,12,MEX,2023,Atacante
A. Husic,4,SWZ,2023,Zagueiro
A. Iacovitti,4,SCT,2023,Zagueiro
A. Iannarilli,0,ITA2,2023,Goleiro
A. Ibacache,1,ARG1,2023,Lateral
A. Ibargüen,10,COL,2023,Extremo
A. Ibrahim,10,CRO,2023,Extremo
A. Ibrahim,12,USA,2023,Atacante
A. Idah,12,ENG2,2023,Atacante
A. Idrus,1,INDO,2023,Lateral
A. Ienaga,11,JAP,2023,Extremo
