Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
872,E. Gonzáles,Sport Boys,Sport Boys,"LDMF, DMF",LDMF,7,29,350000,,9,634,Peru,Peru,right,190,84,no,9.09,1.42,7.668000000000001,3.2634,0.14,0.850489,0.0,0.14,2.836881,PER,Testing,2025,0.2858055798093279,0.298167787115069,0.2916550941523707
873,J. Castillo,Alianza Lima,Alianza Lima,"LDMF, DMF, RCMF",LDMF,7,29,700000,2026-12-31,10,606,Peru,Peru,left,175,72,no,12.92,0.89,11.288558,5.050437000000001,0.59,1.337757,0.5920000000000001,0.89,4.458155,PER,Testing,2025,0.6181669854754025,0.6350999629043046,0.6264586125796066
874,K. Paico,Comerciantes Unidos,Comerciantes Unidos,"LDMF, LCMF",LDMF,7,30,250000,,10,772,Peru,Peru,right,170,72,no,7.11,6.759994999999999,11.772738,6.997204,0.58,1.3968,0.58331,0.12,5.133134999999999,PER,Testing,2025,0.5068918589387108,0.527311752772759,0.516875646438711
875,J. Vega,Comerciantes Unidos,Comerciantes Unidos,"LDMF, RDMF, LCMF",LDMF,7,30,200000,,10,538,Peru,Peru,right,181,0,no,5.19,1.506,7.026452999999999,3.514144,0.33,0.504,0.165,0.0,2.843536,PER,Testing,2025,0.03450667866291979,0.04616149819661856,0.03988464072892821
876,N. Da Campo,Sport Boys,Sport Boys,"RDMF, RCMF",RDMF,7,30,175000,,12,1119,Argentina,Argentina,right,181,70,no,8.04,1.529808,6.516881999999999,4.020576,2.01,2.253125,0.80562,1.77,2.898,PER,Testing,2025,0.2225855946783582,0.2538752467517452,0.2378736553221662
877,C. Torrejón,Cienciano,Cienciano,"DMF, RDMF, LCMF",DMF,7,32,300000,2025-12-31,11,870,United States,"United States, Peru",right,180,78,no,8.59,1.347252,6.7239,2.895496000000001,0.31,1.036811,0.206677,0.41,2.996832,PER,Testing,2025,0.2535772088592085,0.2549546953880907,0.2539166967742453
878,R. Ureña,Universitario,Universitario,"DMF, RCMF",DMF,7,32,850000,2026-12-31,10,715,Chile,Chile,right,181,70,no,6.17,7.046329999999999,12.334437,8.687084999999998,0.88,1.133207,0.125,0.13,8.936312000000001,PER,Testing,2025,0.5166486059535362,0.5786028089001488,0.5474138435028817
879,A. Altuna,Sport Boys,Sport Boys,"LDMF, DMF",LDMF,7,33,150000,,11,673,Argentina,Argentina,right,182,72,no,7.49,1.468917,7.619040000000001,3.477025,0.27,0.8039999999999999,0.0,0.67,3.078885,PER,Testing,2025,0.1729221202181944,0.1826239757044186,0.1773879681030893
880,J. Durán,Juan Pablo II College,Juan Pablo II College,"LDMF, LCMF, CF",LDMF,7,33,225000,,7,632,Peru,Peru,right,165,60,no,3.99,4.560171,11.81848,8.120562999999999,2.42,3.846604,1.284,1.71,7.829183999999999,PER,Testing,2025,0.4487141483249509,0.3836720975050456,0.4159197041601196
881,F. Gaibor,Alianza Lima,Alianza Lima,"RDMF, AMF, LCMF",RDMF,7,33,650000,,13,994,Ecuador,Ecuador,right,179,75,no,5.79,4.70586,14.399985,8.869094999999998,2.26,3.895559,0.9972880000000001,2.17,6.793704,PER,Testing,2025,0.4893831439011431,0.4925089894016547,0.4907076575163143
