Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
858,A. Shunin,Dinamo Moskva,Dinamo Moskva,GK,GK,0,36,900000,2024-06-30,18,1781,Russia,Russia,left,194,88,no,0.24999,68.75,0.035,1.87,1.16,0.01935483870967747,3.19078947368421,RUS,Testing,2023,0.3814606331082058,0.4006107774405888,0.391
859,A. Onana,Manchester United,Manchester United,GK,GK,0,27,20000000,2027-06-30,17,1661,Cameroon,Cameroon,right,190,93,no,0.3225,74.14,-0.012,0.98,0.92,-0.01249999999999996,3.876543209876543,ITA1,Testing,2023,0.3922483503408233,0.387404229127516,0.39
860,W. Szczęsny,Juventus,Juventus,GK,GK,0,33,13000000,2025-06-30,32,3150,Poland,Poland,right,195,90,no,0.37,72.07,-0.038,1.03,1.26,-0.04705882352941182,3.561797752808989,ITA1,Testing,2023,0.3915971122663237,0.38906269428829,0.39
861,S. Mignolet,Club Brugge,Club Brugge,GK,GK,0,35,5000000,2026-06-30,40,3900,Belgium,Belgium,right,193,87,no,0.27693,69.62,0.08,1.13,1.55,0.0672268907563024,3.288288288288288,BEL1,Testing,2023,0.3984015945857798,0.3771868767488457,0.388
862,Marcos Felipe,Bahia,Bahia,GK,GK,0,27,1500000,2024-12-31,37,3805,Brazil,Brazil,right,188,81,no,0.236366,72.73,0.081,0.97,1.54,0.06201550387596899,3.652892561983471,BRA1,Testing,2023,0.3948824114914524,0.3817295254301517,0.388
863,Léo Jardim,Vasco da Gama,Vasco da Gama,GK,GK,0,28,3000000,2025-12-31,38,3915,Brazil,"Brazil, Italy",right,188,82,no,0.18,73.02,0.07,1.24,1.06,0.05645161290322587,3.70940170940171,BRA1,Testing,2023,0.392820300243281,0.3829251573011724,0.388
864,P. Grazziani,Alianza Petrolera,Alianza Petrolera,GK,GK,0,29,100000,,15,1391,Colombia,Colombia,right,183,75,no,0.455,67.16,-0.288,1.75,2.07,-0.2456140350877194,3.056338028169014,COL,Testing,2023,0.3722119564447441,0.4032315449162392,0.388
865,D. Penny,Deportivo Garcilaso,Deportivo Garcilaso,GK,GK,0,39,50000,2023-12-31,30,2965,Peru,Peru,right,197,85,no,0.300003,73.24,-0.053,1.4,1.09,-0.04545454545454519,3.747826086956522,PER,Testing,2023,0.3960917409260905,0.3790972440522054,0.388
866,Dani Cárdenas,Rayo Vallecano,Rayo Vallecano,GK,GK,0,26,2000000,2025-06-30,15,1479,Spain,Spain,right,186,80,no,0.3,74.36,-0.005,0.91,1.46,-0.01666666666666661,3.885245901639344,SPA2,Testing,2023,0.3826846875266107,0.3927158727104181,0.388
867,D. Jensen,İstanbulspor,İstanbulspor,GK,GK,0,31,400000,2024-06-30,33,3344,Denmark,Denmark,right,195,92,no,0.432952,68.51,-0.039,1.29,1.21,-0.02684563758389258,3.183006535947712,TUR,Testing,2023,0.3905698720793546,0.3846422009561609,0.388
868,J. Roca,Always Ready,Always Ready,GK,GK,0,24,100000,,25,2478,Bolivia,Bolivia,right,186,78,no,0.452319,70.65,-0.161,1.62,1.21,-0.1860465116279071,3.401960784313726,BOL,Testing,2023,0.3758688577352932,0.3978506710469356,0.387
869,Ricardo Ribeiro,Leixões,Leixões,GK,GK,0,33,200000,,24,2353,Portugal,Portugal,right,184,75,no,0.46,68.24,-0.031,1.22,1.19,-0.03000000000000003,3.155339805825243,POR2,Testing,2023,0.3935707307281738,0.3813640814497228,0.387
