Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Sucesso em desarmes (%),Posses recuperadas (p90),Ações defensivas (p90),Sucesso em 1v1 defensivo (%)
BRA1,2024,417929.0,Bruno Tubarão,Atletico GO,1786.0,DR,Lateral,Lateral,-1.531378199020308,-0.7361450321142311,-0.8067316386468992,-0.4931308152089039
BRA1,2024,418751.0,Andrés Hurtado,Red Bull Bragantino,1483.0,DR,Lateral,Lateral,-1.1410423991061112,-0.8620572286467443,-0.265025216874742,-2.6024269070258463
BRA1,2024,418965.0,Matheus Alexandre,Cuiaba,2843.0,DR,Lateral,Lateral,0.746344269229632,-0.723469123495664,-0.773599580587403,0.1813903052832028
BRA1,2024,422035.0,Joaquín Piquerez,Palmeiras,1460.0,DL,Lateral,Lateral,-0.6553733742163312,-0.0871195132839655,0.263159868871113,-1.3236381889592383
BRA1,2024,429481.0,Wesley,Flamengo,2624.0,DR,Lateral,Lateral,1.0430279774368858,1.3754004666481616,1.7918499569571609,0.3719322208596192
BRA1,2024,436560.0,Hugo,Corinthians,2061.0,DL,Lateral,Lateral,-0.1034623247902531,-0.8230826522521923,-0.1422293453845511,0.3229885513217402
BRA1,2024,436566.0,Maguinho,Atletico GO,1743.0,DR,Lateral,Lateral,-0.5205063309678705,-0.8134629806519593,-0.5830744104402547,-0.3712986267146403
BRA1,2024,439642.0,Nathan Mendes,Red Bull Bragantino,1310.0,DR,Lateral,Lateral,0.2431617023067828,0.1749359729221919,0.0168687624408044,-0.8981251979683399
BRA1,2024,453459.0,Guilherme Romão,Atletico GO,3108.0,DL,Lateral,Lateral,0.0376971864283082,-0.6167156635797133,-0.2563226458731905,-0.4430479317545366
BRA1,2024,468000.0,Kaiki,Cruzeiro,1318.0,DL,Lateral,Lateral,1.6968561391580208,0.5573955256460963,1.2372062301626912,1.2314101958390022
BRA1,2024,468006.0,Matheus Bidu,Corinthians,1718.0,DL,Lateral,Lateral,-0.9449972217065048,0.9007266222798102,0.7397717755086887,-0.2941441088596144
BRA1,2024,472116.0,Cuiabano,Gremio,1847.0,DL,Lateral,Lateral,0.3720029763958116,0.426779105451023,0.538036041395699,0.9897407590561002
BRA1,2024,479765.0,Gabriel Inocêncio,Juventude,1038.0,DL,Lateral,Lateral,0.7452457931972678,0.8728718152187862,0.7170783921111407,1.4749085900812509
BRA1,2024,484252.0,Mateo Ponte,Botafogo RJ,1272.0,DR,Lateral,Lateral,0.9062844254173992,-0.3817653895000481,-0.4552697251043463,-0.2234871482222145
BRA1,2024,513492.0,Claudinho,Criciuma,2288.0,DR,Lateral,Lateral,-2.1449369089080665,-0.6965976313436103,-1.30766592987988,-1.2082579107329043
BRA1,2024,514432.0,Railan,Cuiaba,1376.0,DR,Lateral,Lateral,0.1556914906806681,-0.726106171666234,-1.0668077564123315,0.8896170468871151
BRA1,2024,14058.0,Dimitri Payet,Vasco da Gama,1348.0,AMC,Meio Campo,Meia,-2.678036788436092,-1.1183880746040102,-0.8519568346987801,-1.879561978328988
BRA1,2024,14195.0,Nenê,Juventude,1657.0,AMC,Meio Campo,Meia,-0.2524440440794687,-1.4655358085325618,-1.3576752274958417,-0.2938129195304238
BRA1,2024,17476.0,Zé Rafael,Palmeiras,1117.0,DMC,Meio Campo,Primeiro Volante,1.001176272074091,0.4654304757032942,0.1184832052523694,1.4466567321907473
BRA1,2024,19119.0,Fernandinho,Athletico Paranaense,1746.0,DMC,Meio Campo,Primeiro Volante,1.6667646313008202,0.770502513690327,0.6912709663516015,0.5301872686557736
BRA1,2024,31958.0,Fernando,Internacional,1736.0,DMC,Meio Campo,Primeiro Volante,0.6356549960248588,2.481450135520127,1.3581899193550744,-0.1278743795036435
BRA1,2024,35237.0,Eduardo Vargas,Atletico MG,1005.0,AMC,Meio Campo,Meia,1.263620187016365,-1.380733940458993,-0.8883843393438214,-1.7218751037222768
BRA1,2024,40237.0,Ganso,Fluminense,2432.0,AMC,Meio Campo,Meia,-0.5060072753170944,-0.2209451646635012,-0.1532875661330589,-1.1687422445247495
BRA1,2024,43369.0,Luiz Gustavo,Sao Paulo,2409.0,DMC,Meio Campo,Primeiro Volante,0.8295476270244808,1.191315140125175,0.9413859650830272,1.1082297434751829
BRA1,2024,74571.0,Alan Patrick,Internacional,1979.0,AMC,Meio Campo,Meia,1.182900110560223,-0.5787402779644133,-0.2807002567338541,0.4069854002529819
BRA1,2024,75971.0,Marquinhos Gabriel,Criciuma,1170.0,AMC,Meio Campo,Meia,-1.1705983569974376,-0.9292086589479952,-1.1840279978963264,-1.132176137842409
BRA1,2024,81716.0,Osvaldo,Vitoria,1154.0,ML,Meio Campo,Segundo Volante,-1.6562757985700622,-1.4909781537062952,-1.4547572187510316,-0.6028731571800311
BRA1,2024,101395.0,Igor Coronado,Corinthians,1603.0,AMC,Meio Campo,Meia,0.1825666923938429,-0.5406172332765785,-0.4159828050647412,-0.9156403449343936
BRA1,2024,101467.0,Éverton Ribeiro,Bahia,2900.0,MC,Meio Campo,Segundo Volante,0.8598549409766809,0.720079524725281,0.9269715222702708,0.0801371573512131
BRA1,2024,101642.0,Bernard,Atletico MG,1063.0,AMC,Meio Campo,Meia,-1.7452344595334823,-0.4460605372399364,-0.4057321107409892,-0.99705780759089
BRA1,2024,102256.0,Edenílson,Gremio,1507.0,AMC,Meio Campo,Meia,-2.159984023895882,-1.120566274409649,-1.3323855052155746,-1.0734124112257717
BRA1,2024,114095.0,Gabriel,Athletico Paranaense,1588.0,DMC,Meio Campo,Primeiro Volante,-0.0297919867724102,2.0343400317269382,1.8604459699679337,1.3751333921131883
BRA1,2024,114096.0,Jádson,Juventude,3191.0,DMC,Meio Campo,Primeiro Volante,-0.1928526909050457,0.7648155712316248,0.8217407318461789,0.9828771951385384
BRA1,2024,115098.0,Lucas Silva,Cruzeiro,2187.0,MC,Meio Campo,Segundo Volante,-0.801528221587511,-0.6790674091904055,-0.4607438728201471,-1.6576233570106664
BRA1,2024,117055.0,Erick Pulgar,Flamengo,1954.0,DMC,Meio Campo,Primeiro Volante,-0.6131460554940592,1.806186566292613,1.7807711994306317,0.3871454857935807
