Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
9,T. Oshima,Cracovia Kraków,Cracovia Kraków,"DMF, LCMF, RCMF",DMF,7,25,0,2024-06-30,29,2172,Japan,Japan,right,174,71,no,7.5,1.696032,8.329716,3.732762,1.74,2.692998,1.200768,0.99,4.18223,POL,Testing,2024,0.04648424484647368,0.06929825826429323,0.05789125155538347
10,K. Stępień,Puszcza Niepołomice,Puszcza Niepołomice,"LDMF, RDMF, LCMF",LDMF,7,31,0,2024-06-30,27,2233,Poland,Poland,right,185,80,no,8.18,1.611348,5.560277999999999,2.698312999999999,1.25,1.208652,0.6855000000000001,0.52,1.852994,POL,Testing,2024,0.0,0.0,0.0
11,Luizão,Radomiak Radom,Radomiak Radom,"RDMF, RCMF, LCMF",RDMF,7,26,0,2025-06-30,28,2293,Brazil,Brazil,right,184,66,no,9.97,2.591125,8.753064,4.671112,1.3,1.646748,0.5869800000000001,0.39,3.68734,POL,Testing,2024,0.6383335294622117,0.7047448506879316,0.6715391900750717
12,J. Serafin,Puszcza Niepołomice,Puszcza Niepołomice,"LDMF, RDMF, RCMF",LDMF,7,28,0,2028-06-30,29,2430,Poland,Poland,right,181,69,no,9.78,2.109,6.885639,3.855651000000001,1.41,2.150496,0.7790099999999999,0.59,3.331422,POL,Testing,2024,0.4984690618394773,0.5118517397263329,0.5051604007829051
13,P. Pokorný,Śląsk Wrocław,Śląsk Wrocław,"DMF, LDMF",DMF,7,22,0,2025-06-30,27,2539,Slovakia,Slovakia,right,183,79,no,10.88,2.905359,6.625784000000001,4.042038,1.21,1.595816,0.8160900000000001,0.35,3.683219999999999,POL,Testing,2024,0.6486720431741889,0.7183716745254431,0.6835218588498161
14,Y. Hofmeister,Korona Kielce,Korona Kielce,"DMF, LCMF, LCB",DMF,7,23,0,2025-06-30,29,2618,Israel,"Israel, Germany",left,182,69,no,11.34,3.128648,9.074560000000002,4.399261,0.65,1.372764,0.376285,0.41,3.60965,POL,Testing,2024,0.7148988152329288,0.8558809886749323,0.7853899019539308
15,M. Hanousek,Widzew Łódź,Widzew Łódź,"DMF, LCMF",DMF,7,32,0,2026-06-30,29,2653,Czech Republic,Czech Republic,right,186,78,no,10.79,1.087232,7.5004,2.748546,0.68,1.084,0.406687,1.26,3.321385,POL,Testing,2024,0.4461302032289414,0.4847896479006147,0.4654599255647781
16,J. Karlström,Lech Poznań,Lech Poznań,"LDMF, LCMF, RCMF",LDMF,7,28,0,2026-06-30,31,2674,Sweden,Sweden,right,182,81,no,8.85,3.230136,11.712294,5.891339999999999,2.56,3.601972,1.615879,1.28,6.767592,POL,Testing,2024,0.7266382625166451,0.761163657737202,0.7439009601269236
17,R. Murawski,Lech Poznań,Lech Poznań,"RDMF, RCMF, DMF",RDMF,7,30,0,2026-06-30,31,2832,Poland,Poland,right,173,68,no,10.36,2.574,13.73054,6.450674,0.73,1.8126,0.125708,0.35,6.517208999999999,POL,Testing,2024,1.0,1.0,1.0
18,D. Dąbrowski,Zagłębie Lubin,Zagłębie Lubin,"LDMF, RDMF, LCMF",LDMF,7,31,0,2026-06-30,34,3202,Poland,Poland,right,182,81,no,9.22,3.092212,15.510508,7.846272,1.32,1.126132,0.392,1.43,9.414468,POL,Testing,2024,0.9969193897529305,0.9837941075870185,0.9903567486699746
19,D. Rasak,Górnik Zabrze,Górnik Zabrze,"RDMF, RCMF, LCMF",RDMF,7,28,0,2025-06-30,34,3231,Poland,Poland,right,184,77,no,7.94,2.087226,8.943670000000001,2.978855,1.34,1.784772,0.698886,1.25,3.956859999999999,POL,Testing,2024,0.1069170417523165,0.1271063101169438,0.1170116759346302
0,M. Sako,Vilaverdense,Vilaverdense,"RDMF, RCMF",RDMF,7,22,0,,23,1102,Mali,Mali,right,176,70,no,9.07,0.9009360000000001,7.75866,3.1875,0.98,1.553178,0.57081,0.49,3.515727,POR2,Testing,2024,0.1709855737610259,0.1872011492711254,0.1790933615160756
1,Fábio Pacheco,AVS ,AVS ,"DMF, RDMF",DMF,7,36,0,2024-06-30,19,1178,Portugal,Portugal,right,180,66,no,13.9,1.7595,6.187856,2.519362,0.38,0.6132719999999999,0.228,0.31,2.442965,POR2,Testing,2024,0.7376437314312555,0.7021754883923972,0.7199096099118263
2,C. Kouakou,Mafra,Mafra,"DMF, RDMF, LDMF",DMF,7,24,0,,31,1253,Côte d'Ivoire,Côte d'Ivoire,right,175,68,no,8.4,2.800589,7.973151000000001,4.091118,1.36,3.518775,1.075,1.72,3.375512,POR2,Testing,2024,0.2290741044484345,0.3305494517776793,0.2798117781130569
3,Braima Sambú,Porto II,Porto II,"RDMF, DMF, LDMF",RDMF,7,23,0,2025-06-30,24,1485,Guinea-Bissau,"Guinea-Bissau, Portugal",right,182,74,no,8.24,2.726616,10.967648,4.726476,0.55,1.999294,0.488,0.48,5.516305,POR2,Testing,2024,0.6230471797672887,0.6403713402927825,0.6317092600300356
4,Ž. Jevšenak,Benfica II,Benfica II,"DMF, LDMF",DMF,7,21,0,,25,1512,Slovenia,Slovenia,left,192,78,no,9.35,1.606136,10.120656,4.163632,0.36,0.7730800000000001,0.24,0.24,4.880815,POR2,Testing,2024,0.4604489021381974,0.4392678952574925,0.4498583986978449
