Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
180,Vladimir,Atlético GO,Atlético GO,GK,GK,0,35,200000,2025-12-31,8,806,Brazil,Brazil,right,191,93,no,0.11,8.488199999999999,3.573378,3.01725,70.59,0.0020385,1.23,1.23,-0.1546391752577321,3.392857142857142,BRA2,Testing,2025,0.3067373697694383,0.3591265152507164,0.3344171724383407
181,Léo Vieira,Chapecoense,Chapecoense,GK,GK,0,34,100000,2026-11-30,11,1119,Brazil,Brazil,right,193,83,no,0.72,14.7972,2.333823,2.41314,81.13,0.0040725,2.57,2.33,0.1919191919191918,5.324999999999999,BRA2,Testing,2025,0.8440141654378868,0.8013092905040364,0.8263316726749979
182,Tadeu,Goiás,Goiás,GK,GK,0,33,1500000,2029-12-31,10,1010,Brazil,Brazil,right,184,80,no,0.3,11.111352,9.0279,7.841987999999999,84.38,0.0015252,1.59,2.38,0.1935483870967741,6.36,BRA2,Testing,2025,0.733305476247339,0.7540484564374264,0.7469945551536107
183,Mateus Pasinato,Cuiabá,Cuiabá,GK,GK,0,32,300000,2026-12-31,11,1115,Brazil,"Brazil, Italy",right,192,86,no,0.4,9.927954000000001,2.986634,2.339805,74.36,0.0017228,1.7,1.05,-0.173913043478261,3.888888888888888,BRA2,Testing,2025,0.4060068559895688,0.4652663748676027,0.4375800172367866
184,Victor Souza,Botafogo SP,Botafogo SP,GK,GK,0,32,150000,,7,698,Brazil,Brazil,left,191,87,no,0.39,7.740932,3.352392,3.485532,64.29,0.0,2.06,0.9,0.0,2.7984496124031,BRA2,Testing,2025,0.306681120929161,0.3941399263914175,0.3519737266170105
185,Jean Drosny,Volta Redonda,Volta Redonda,GK,GK,0,31,0,2025-10-30,10,1001,Brazil,Brazil,right,192,88,no,0.09,7.730443,1.349856,1.169982,81.25,0.007624200000000001,0.45,1.35,0.325,5.333333333333333,BRA2,Testing,2025,0.5469196421889868,0.5036874560525667,0.5276469606501571
186,Airton,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,31,250000,2025-12-10,9,913,Brazil,Brazil,right,188,85,no,1.28,9.95151,3.151521,2.172579,89.19,0.0147066,3.25,1.18,0.4935064935064934,9.358974358974358,BRA2,Testing,2025,1.0,0.9911175020263813,1.0
187,Jefferson,Athletic Club,Athletic Club,GK,GK,0,30,0,,8,781,Brazil,Brazil,right,192,84,no,0.46,12.215331,2.537102,2.306782,66.67,0.0185262,1.27,2.19,-0.5679012345679011,2.992125984251969,BRA2,Testing,2025,0.3247252291813612,0.3495575470685954,0.3386453966497365
188,Matheus Albino,CRB,CRB,GK,GK,0,30,150000,2026-12-30,11,1088,Brazil,Brazil,left,187,85,no,0.575572,15.3,3.97042,3.637168,86.36,0.06761919999999999,2.73,1.24,0.5033557046979866,7.378378378378378,BRA2,Testing,2025,0.9581476086053281,0.9256066350425658,0.9460788937522658
189,Elias,Operário PR,Operário PR,GK,GK,0,29,100000,,9,908,Brazil,Brazil,right,186,74,yes,0.4,7.633317999999999,5.450109,4.65504,68.75,0.0027722,1.09,1.98,-0.1927710843373494,3.202020202020202,BRA2,Testing,2025,0.3682917970460688,0.4223458180399775,0.3970823491237488
190,Igor Bohn,Avaí,Avaí,GK,GK,0,29,300000,2026-12-31,7,699,Brazil,Brazil,right,193,80,no,0.64,7.72126,3.474,3.222016,81.82,0.00485,2.45,2.32,0.2450980392156863,5.51948051948052,BRA2,Testing,2025,0.8382985411925337,0.8018762452510547,0.823745853659749
191,Matheus Nogueira,Paysandu,Paysandu,GK,GK,0,27,100000,2026-06-30,10,909,Brazil,Brazil,right,191,86,no,0.79,8.616405,4.652801999999999,4.451944,66.67,0.001092,1.58,2.28,-0.1018518518518516,2.991596638655462,BRA2,Testing,2025,0.509854773278538,0.5216215777428566,0.5180389153184833
192,Dênis Júnior,Ferroviária,Ferroviária,GK,GK,0,26,1000000,2026-12-31,11,1092,Brazil,Brazil,right,188,87,no,0.328,9.720360000000001,4.284025000000001,3.710631,75.61,0.0028798,1.98,1.15,0.163265306122449,4.121951219512195,BRA2,Testing,2025,0.4548476210556564,0.5351159278477746,0.4971899186742795
193,Matheus Mendes,América Mineiro,América Mineiro,GK,GK,0,26,300000,2026-12-31,11,1104,Brazil,Brazil,right,191,83,yes,0.24,12.308226,2.69081,2.367144,68.89,0.0194224,1.88,1.06,-0.5405405405405403,3.219298245614035,BRA2,Testing,2025,0.2336843046277407,0.3250493936601938,0.2806131218872343
194,Halls,Vila Nova,Vila Nova,GK,GK,0,25,300000,,10,1024,Brazil,Brazil,right,198,88,no,0.352,6.50275,2.550658,2.722556,69.23,0.0002392,2.2,0.88,-0.06060606060606055,3.271428571428572,BRA2,Testing,2025,0.3349931403165984,0.4192630750516887,0.3788104994309339
195,Pedro Rangel,Coritiba,Coritiba,GK,GK,0,24,600000,2026-12-31,7,712,Brazil,Brazil,right,192,88,yes,0.38,17.32,3.916598,2.4016,82.76,0.001785,1.9,0.63,0.1923076923076923,5.825396825396825,BRA2,Testing,2025,0.6866616797638938,0.6807946661656361,0.6867783265115469
196,Kauã Moroso,Criciúma,Criciúma,GK,GK,0,21,0,2026-10-31,9,900,Brazil,Brazil,right,189,83,no,0.8,10.60025,3.09987,2.7,76.19,0.0049284,1.4,1.8,0.180327868852459,4.2,BRA2,Testing,2025,0.578736708976581,0.6507605598952771,0.6174910660071973
197,Mycael,Athletico Paranaense,Athletico Paranaense,GK,GK,0,21,0,2027-12-31,10,1005,Brazil,Brazil,left,190,85,no,0.18,7.611292,2.42,2.056723,60.53,0.0145483,0.63,1.25,-0.3673469387755104,2.537313432835821,BRA2,Testing,2025,0.1550796242563956,0.1836722100138641,0.1701315135472961
198,Rafael William,Maringá,Maringá,GK,GK,0,23,0,2025-12-31,6,612,Brazil,Brazil,right,198,89,no,0.4425,2.355585,6.322953,6.615,57.14,0.019474,1.91,1.03,-0.6708860759493671,2.340909090909091,BRA3,Testing,2025,0.1557347712893301,0.2200121857681736,0.1887115937030849
199,Gabriel Felix,CSA,CSA,GK,GK,0,27,0,,8,804,Brazil,Brazil,right,187,77,no,0.7875,7.84,3.696,3.023888,75.86,4.2e-06,1.79,0.78,0.0,4.166666666666667,BRA3,Testing,2025,0.5656913061900112,0.6275454354232792,0.5992799221537256
200,Fabian Volpi,Retrô,Retrô,GK,GK,0,27,0,,7,711,Brazil,Brazil,right,186,80,no,0.25,13.54746,2.278349,2.658015,68.0,0.0051054,1.65,0.63,-0.3289473684210527,3.128712871287129,BRA3,Testing,2025,0.2642188323594874,0.3413350654246324,0.3041276555340612
201,Thiago Coelho,Caxias,Caxias,GK,GK,0,30,0,,7,695,Brazil,Brazil,right,187,84,no,0.260013,14.371049,4.533801,3.49566,70.37,0.0003484,2.59,1.68,-0.07216494845360821,3.365384615384615,BRA3,Testing,2025,0.3944025860064692,0.4663768907116803,0.4323097335250808
202,Michael,Botafogo PB,Botafogo PB,GK,GK,0,30,200000,,7,699,Brazil,Brazil,left,194,85,no,1.031124,8.11,3.475725,3.089058,83.87,0.0004349999999999999,2.45,1.29,0.111111111111111,6.234375,BRA3,Testing,2025,0.8490661656527211,0.8621153380963116,0.8594075949849996
203,Andrey Ventura,Guarani,Guarani,GK,GK,0,31,0,,6,608,Brazil,Brazil,left,190,90,no,0.7416370000000001,9.322268000000001,2.221013000000001,1.628,77.78,0.0030316,1.63,1.48,0.2625000000000001,4.508474576271187,BRA3,Testing,2025,0.6290389315150037,0.660126971211064,0.6474584756620692
204,Júnior Oliveira,São Bernardo FC,São Bernardo FC,GK,GK,0,35,0,,6,601,Brazil,Brazil,right,188,77,no,0.15,14.08,2.3936,2.10006,78.26,2.94e-05,1.35,1.2,0.02597402597402598,4.586666666666667,BRA3,Testing,2025,0.4700292426812067,0.5061666197892652,0.4902753662086677
