Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ganhos,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Interceptações_Ajustadas_a_Posse,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
2064,Bebeto,Tondela,Tondela,"RB, RCB, RCMF",RB,1,35.0,75000,2025-06-30,32,2818,Brazil,Brazil,right,174,66,no,11.467712,11.11,6.194369999999999,1.755616,5.34,POR2,Testing,2025,0.7686956905160285,0.7802117397471414,0.772096616594437
2065,Gui Ferreira,Mafra,Mafra,"LB, RB, LAMF",LB,1,34.0,75000,2025-06-30,24,2113,Portugal,Portugal,left,183,73,no,8.093900999999999,9.2,4.258568,0.8105020000000001,7.09,POR2,Testing,2025,0.6003610784721019,0.6123745508498181,0.6022541142345561
2066,Paulinho,Academico Viseu,Academico Viseu,"RB, RWB",RB,1,33.0,125000,2025-06-30,30,2790,Portugal,Portugal,right,176,70,no,5.808809999999999,6.16,2.774817,1.0965,4.15,POR2,Testing,2025,0.2474418864764129,0.2593617358681887,0.2455993971367526
2067,David Bruno,Alverca,Alverca,RB,RB,1,33.0,75000,2025-06-30,19,1589,Portugal,Portugal,right,175,69,no,5.436470000000001,7.36,3.683424,0.736695,4.97,POR2,Testing,2025,0.3421610816678819,0.3571277676542381,0.3428478056160966
2068,Fábio China,Marítimo,Marítimo,LB,LB,1,32.0,125000,2025-06-30,24,1489,Portugal,Portugal,left,179,72,no,9.73368,9.07,4.775558,1.873264,6.67,POR2,Testing,2025,0.6491281833318121,0.6668784894580264,0.6544292591895983
2069,Bruno Silva,Feirense,Feirense,"LB, LWB",LB,1,32.0,125000,2025-06-30,19,1538,Brazil,Brazil,left,179,66,no,9.013872,10.42,4.912319999999999,1.8752,6.77,POR2,Testing,2025,0.7025733491762138,0.7115687094960882,0.7040097399487295
2070,Carraça,Chaves,Chaves,RB,RB,1,32.0,400000,2025-06-30,32,2957,Portugal,Portugal,right,177,70,no,6.85,7.3,3.254632,0.8831939999999999,5.38,POR2,Testing,2025,0.3799882243079941,0.3903755108531561,0.3787566368507347
2071,Jean Felipe,Leixões,Leixões,RB,RB,1,31.0,500000,2026-06-30,27,2304,Brazil,Brazil,right,179,74,no,5.779069999999999,8.75,3.045005999999999,1.053506,8.32,POR2,Testing,2025,0.5233781558089226,0.5154143816009976,0.5143736616926377
2072,Igor Julião,Marítimo,Marítimo,"RB, RWB",RB,1,30.0,350000,2027-06-30,21,1465,Brazil,Brazil,right,175,66,no,10.3212,8.35,4.610087999999999,1.906774,5.59,POR2,Testing,2025,0.5874062327773665,0.6059454863919225,0.5924608722177538
2073,Henrique Gelain,Leixões,Leixões,LB,LB,1,30.0,175000,2026-06-30,20,1070,Brazil,Brazil,left,179,74,no,10.847899,9.34,5.385919,1.599234,5.63,POR2,Testing,2025,0.6455305557234748,0.6700827289525627,0.6542305095578341
2074,Simãozinho,Leixões,Leixões,LB,LB,1,29.0,175000,2025-06-30,27,2533,Portugal,Portugal,left,180,73,no,7.180052000000001,7.5,3.197340000000001,1.419768,6.22,POR2,Testing,2025,0.4488397866149647,0.4613143662627621,0.449382293983308
2075,Henrique Gomes,Academico Viseu,Academico Viseu,"LB, LCB",LB,1,29.0,225000,2025-06-30,20,1726,Portugal,Portugal,left,185,79,no,8.915999999999999,9.28,4.590458,1.87652,6.23,POR2,Testing,2025,0.624597257117407,0.6351083604561641,0.6259845411119396
2076,E. Banguera,Felgueiras 1932,Felgueiras 1932,"LB, LCB",LB,1,28.0,275000,2025-06-30,30,2748,Colombia,Colombia,left,180,75,no,8.973516,8.12,3.633039,2.911973999999999,6.47,POR2,Testing,2025,0.5994989778211899,0.6024784333844311,0.5968187901511869
2077,Igor Milioransa,Academico Viseu,Academico Viseu,"LB, LWB",LB,1,28.0,400000,2027-06-30,18,1417,Brazil,Brazil,left,185,78,no,9.463068999999999,9.15,4.130695999999999,2.284074,6.25,POR2,Testing,2025,0.6379183041626696,0.6476567153446627,0.6390544177246761
2078,João Silva,Penafiel,Penafiel,LB,LB,1,27.0,500000,2025-06-30,30,2652,Portugal,Portugal,left,183,76,no,9.975252,9.54,4.646763,1.59689,6.81,POR2,Testing,2025,0.6860767891386652,0.6925513572850153,0.6860672126219082
2079,Diga Almeida,Feirense,Feirense,"RB, RWB",RB,1,27.0,225000,2025-06-30,32,2890,Portugal,Portugal,right,177,72,no,7.06783,7.91,4.611686,0.68533,3.96,POR2,Testing,2025,0.4010984816898677,0.4056277046525059,0.3971278675228674
2080,Klebinho,UD Oliveirense,UD Oliveirense,RB,RB,1,26.0,150000,2026-06-30,19,1142,Brazil,Brazil,right,164,61,no,7.726488,7.64,3.861003,0.39375,5.77,POR2,Testing,2025,0.4655682700020281,0.4713680088708075,0.462913301892927
2081,Zé Ricardo,Feirense,Feirense,"LWB, LB",LWB,1,26.0,250000,2025-06-30,14,908,Brazil,"Brazil, Spain",left,180,75,no,12.3924,11.1,6.63876,0.99,5.38,POR2,Testing,2025,0.7875889557203233,0.798966352463994,0.7911172773897914
2082,O. Lebedenko,Vizela,Vizela,LB,LB,1,26.0,400000,2025-06-30,31,2828,Ukraine,Ukraine,left,176,63,no,8.816424000000001,8.85,4.266018,1.083084,7.8,POR2,Testing,2025,0.6434444941509646,0.6574254183561777,0.6467817847826536
2083,Diogo Casimiro,UD Oliveirense,UD Oliveirense,RB,RB,1,26.0,275000,2025-06-30,26,2258,Portugal,Portugal,right,176,72,no,8.966956,9.33,4.586558,1.314355,6.42,POR2,Testing,2025,0.6279980766194513,0.6345899085790401,0.6274407861889117
2084,H. Sylla,União de Leiria,União de Leiria,RB,RB,1,26.0,250000,2026-06-30,32,3074,Côte d'Ivoire,Côte d'Ivoire,right,178,75,no,8.49186,8.29,4.12623,1.140768,5.6,POR2,Testing,2025,0.5080124393683452,0.5201366040787476,0.5089962991552759
2085,Maga,Penafiel,Penafiel,RB,RB,1,26.0,450000,2025-06-30,30,2833,Portugal,Portugal,right,175,58,no,6.926544,8.67,4.480519999999999,0.7927620000000001,5.83,POR2,Testing,2025,0.4978020873640172,0.5163037303268659,0.5019013060685232
2086,Tomás Domingos,Marítimo,Marítimo,RB,RB,1,26.0,500000,2025-06-30,26,2093,Portugal,Portugal,right,175,67,no,9.029548,9.2,5.674192000000001,1.20624,5.05,POR2,Testing,2025,0.5788414217158783,0.595870170362265,0.5830434082287989
2087,Aarón Romero,Chaves,Chaves,LB,LB,1,25.0,0,2025-06-30,21,1481,Spain,Spain,left,178,71,no,7.718221,8.51,4.318020000000001,0.36526,5.88,POR2,Testing,2025,0.5106307950482901,0.5225236911265064,0.5115251755093068
2088,Dani Bolt,Torreense,Torreense,"RWB, RB",RWB,1,25.0,0,2026-06-30,34,2748,Brazil,Brazil,right,183,73,no,8.352608,7.43,3.37205,1.705255,6.53,POR2,Testing,2025,0.4980187748406685,0.5141355096384107,0.500915342096521
2089,Marc Baró,União de Leiria,União de Leiria,LB,LB,1,25.0,250000,2027-06-30,30,2410,Spain,Spain,left,184,72,no,11.13006,7.69,4.067452,0.860962,4.75,POR2,Testing,2025,0.4801684243489426,0.5164581121944727,0.4930703308313805
2090,Kiko Vilas Boas,Chaves,Chaves,LB,LB,1,25.0,300000,2026-06-30,17,1449,Portugal,Portugal,left,177,71,yes,8.695884,8.88,4.406844,1.675926,6.25,POR2,Testing,2025,0.6038698356045898,0.6100664212021418,0.6028607016278221
2091,Filipe Relvas,Vitória Guimarães,Portimonense,"LB, LCB",LB,1,25.0,3500000,2026-06-30,16,1547,Portugal,Portugal,left,192,84,no,6.515964,9.02,3.435795,2.499468,7.71,POR2,Testing,2025,0.5505672846597036,0.5806049333519612,0.5610462144667736
2092,Keffel,Portimonense,Portimonense,LB,LB,1,25.0,600000,,12,1108,Brazil,Brazil,left,179,73,yes,8.285385,7.72,3.653136,0.325698,5.66,POR2,Testing,2025,0.4688364481510791,0.4821757189317695,0.4700247968780293
2093,Tiago Manso,Tondela,Tondela,"RB, RWB",RB,1,25.0,400000,2026-06-30,32,2271,Portugal,Portugal,right,174,66,no,8.126232000000002,9.31,4.915125000000001,0.672986,5.43,POR2,Testing,2025,0.5516920831544473,0.5685049984105291,0.5555012977526782
2094,K. Shinga,Alverca,Alverca,"LB, LWB",LB,1,25.0,300000,2025-06-30,20,1538,South Africa,South Africa,left,175,72,no,5.795,8.08,3.159363,1.054356,6.13,POR2,Testing,2025,0.437591349758582,0.4373222119698645,0.4315778553936441
2095,Javi Vázquez,Torreense,Torreense,"LWB, LB",LWB,1,24.0,200000,2027-06-30,34,3366,Spain,Spain,left,178,70,no,5.215789999999999,5.59,2.5149,1.01688,5.0,POR2,Testing,2025,0.2262962728662956,0.2451076129882255,0.2277145542929402
2096,Heitor,Portimonense,Portimonense,RB,RB,1,24.0,1000000,,16,1591,Brazil,Brazil,right,174,67,no,5.99841,8.88,3.33782,0.73661,6.71,POR2,Testing,2025,0.4994205231063271,0.4874103101606287,0.4881212936063947
2097,Pedro Rosas,Felgueiras 1932,Felgueiras 1932,LB,LB,1,24.0,125000,2025-06-30,27,1906,Portugal,Portugal,left,189,82,no,7.459983000000001,6.89,3.39745,2.125,5.56,POR2,Testing,2025,0.4150018335855631,0.4344126632820238,0.4186950824433864
2098,Eirô,Felgueiras 1932,Felgueiras 1932,RB,RB,1,24.0,0,,24,2075,Portugal,Portugal,right,176,66,no,11.406248,10.67,6.069360000000001,1.041078,6.69,POR2,Testing,2025,0.8002086782142332,0.8058464038392359,0.8009690566886963
2099,E. Maviram,Tondela,Tondela,"LB, LWB",LB,1,24.0,225000,2026-06-30,31,1468,Nigeria,Nigeria,left,168,64,no,7.601088,6.93,2.883354,1.348837,5.15,POR2,Testing,2025,0.3825561065354329,0.385254392857393,0.377466677518058
2100,Jójó,Vizela,Vizela,RB,RB,1,23.0,300000,2027-06-30,21,1629,Portugal,"Portugal, Cape Verde Islands",right,188,76,no,9.335612000000001,9.01,4.694284,1.765626,6.99,POR2,Testing,2025,0.6470808245540536,0.6648173991319621,0.6523535667173038
2101,Anilson,Paços de Ferreira,Paços de Ferreira,RB,RB,1,23.0,0,2027-06-30,31,2431,Brazil,Brazil,right,185,66,no,10.366772,11.25,5.44122,2.4076,8.18,POR2,Testing,2025,0.8264541535697429,0.8447500014798618,0.8338840172924978
2102,Luís Bastos,UD Oliveirense,UD Oliveirense,LB,LB,1,23.0,200000,2027-06-30,31,2471,Portugal,Portugal,left,175,72,no,8.525379999999998,9.47,4.335255,1.238688,7.46,POR2,Testing,2025,0.6367071400384404,0.6470625022026096,0.6381422954355653
2103,Kiko,Benfica II,Benfica II,LB,LB,1,23.0,0,2028-06-30,30,2853,Portugal,Portugal,left,177,75,no,7.00536,8.93,4.070736,1.165,7.12,POR2,Testing,2025,0.5748526388089826,0.5854146958807843,0.5757458038113457
2104,Miguel Pires,Alverca,Alverca,"RB, LCMF",RB,1,22.0,0,2026-06-30,34,2915,Portugal,Portugal,right,185,80,yes,7.441279999999999,8.31,3.798758,0.834033,5.71,POR2,Testing,2025,0.4786426366377374,0.4836614540380533,0.47572976247631
2105,Thauan Lara,FC Alverca II,Alverca,"LB, LCB, LWB",LB,1,21.0,0,2026-06-30,18,1135,Brazil,Brazil,left,176,76,no,12.132392,8.56,4.915746,1.347344,5.45,POR2,Testing,2025,0.5965993515903663,0.622954540480955,0.60569887314611
2106,P. Texel,Mafra,Mafra,RB,RB,1,21.0,350000,2029-06-30,15,1287,Denmark,Denmark,right,182,74,no,5.034500999999999,6.08,2.450112,0.840056,5.23,POR2,Testing,2025,0.2696029447655599,0.270332365964715,0.2623383646738126
2107,Martim Cunha,Porto II,Porto II,"LB, LWB",LB,1,18.0,0,2028-06-30,10,921,Portugal,Portugal,left,0,0,no,5.96,6.45,3.028696,1.562569,5.56,POR2,Testing,2025,0.3457378228720703,0.3589698404500882,0.3455855275993576
2108,Kaio Henrique,Porto II,Porto II,LB,LB,1,19.0,0,2029-06-30,15,1182,Brazil,Brazil,unknown,0,0,no,7.005052000000001,7.69,3.805149000000001,0.9879239999999999,4.87,POR2,Testing,2025,0.4068386914426984,0.4179587378496671,0.4062579168452268
2109,Kauê Alves,Mafra,Mafra,"RB, LB",RB,1,19.0,0,,12,1146,Brazil,Brazil,unknown,0,0,no,9.268992,10.99,5.498832000000001,1.570494,6.88,POR2,Testing,2025,0.7289762758969933,0.7460993812404535,0.7347949361256123
2110,Leandro Santos,Benfica II,Benfica II,RB,RB,1,19.0,0,2025-06-30,20,1376,Portugal,Portugal,right,0,0,no,7.065151999999999,7.13,4.055435999999999,0.7192700000000001,4.8,POR2,Testing,2025,0.3929321464446885,0.4068227795194954,0.3936058103368725
2111,Djé Beni,Mafra,Mafra,LB,LB,1,20.0,0,2025-06-30,26,2304,Côte d'Ivoire,Côte d'Ivoire,,0,0,no,7.459089999999999,7.81,3.439606,1.248548,6.21,POR2,Testing,2025,0.477387504319602,0.4850362375623402,0.4757902132940355
2112,Dinis Rodrigues,Porto II,Porto II,RB,RB,1,20.0,0,2025-06-30,26,1824,Portugal,Portugal,right,172,65,no,6.461721,7.15,3.753108,0.69,4.75,POR2,Testing,2025,0.358868000627512,0.3709283160151523,0.3582609502518926
2113,Diogo Spencer,Benfica II,Benfica II,RB,RB,1,21.0,0,2029-06-30,26,1967,Portugal,Portugal,right,176,64,no,6.77294,7.6,4.2091,0.228125,5.16,POR2,Testing,2025,0.4092169556103279,0.4279461330635914,0.4125053609402182
2114,Moaz Elwadia,Al Shahaniya,Al Shahaniya,"LB, LW, CF",LB,1,20.0,0,2025-06-30,18,1278,Qatar,Qatar,unknown,0,0,yes,8.169996,7.61,4.791551999999999,0.3520269999999999,3.62,QAT,Testing,2025,0.4180388548620718,0.428659136832771,0.4173226352752403
2115,Y. El Hannach,Al Shamal,Al Shamal,RB,RB,1,20.0,0,2026-06-30,21,2037,France,"France, Morocco",right,181,73,no,7.292194,8.57,4.3326,0.5303270000000001,4.63,QAT,Testing,2025,0.440480667669955,0.4506120306978947,0.4397519647185927
2116,Nabil Irfan,Al Wakrah,Al Wakrah,"RB, LB",RB,1,21.0,0,,15,1126,Qatar,Qatar,right,0,0,no,8.315033,9.91,5.35389,1.120056,5.7,QAT,Testing,2025,0.6004186757564205,0.616985323914858,0.6046126930917289
2117,Ahmed Mawla,Al Khor,Al Khor,"RB, LB",RB,1,21.0,25000,2025-06-30,17,1328,Qatar,Qatar,right,0,0,yes,7.794336,10.71,5.352376,0.339966,5.08,QAT,Testing,2025,0.5805850374547014,0.5924811954452063,0.5822121311278347
2118,M. Ibrahim,Al Shahaniya,Al Shahaniya,RB,RB,1,21.0,0,,20,2033,Spain,Spain,unknown,0,0,no,7.745160000000001,8.37,3.627078,0.664268,6.12,QAT,Testing,2025,0.494580196248779,0.5015046618386966,0.4927966611655322
2119,Saifeldeen Hassan Fadlalla,Al Gharafa,Al Gharafa,LB,LB,1,22.0,175000,,14,968,Qatar,"Qatar, Sudan",left,188,0,no,7.810176,9.3,4.367232,0.560028,6.97,QAT,Testing,2025,0.5919718421663289,0.604264661944911,0.5939183385844723
2120,Abdalla Yousif,Al Gharafa,Al Gharafa,"RB, RCB, LB",RB,1,23.0,0,,20,1557,Qatar,Qatar,right,0,0,no,6.471441000000001,7.69,3.696258,1.04111,4.9,QAT,Testing,2025,0.384883220516286,0.3965517098772692,0.3843500848946267
2121,Jamal Hamed,Al Gharafa,Al Gharafa,"LB, LW, RAMF",LB,1,23.0,0,2029-06-30,21,1193,Spain,Spain,unknown,183,0,no,8.221419,8.45,4.223091999999999,1.282005,6.51,QAT,Testing,2025,0.5552902560927754,0.5672419811910646,0.556681077524751
2122,Mohammed Al Naimi,Al Shamal,Al Shamal,LB,LB,1,24.0,0,,15,1317,Qatar,Qatar,left,178,0,yes,6.49,8.95,3.82605,0.75,5.13,QAT,Testing,2025,0.4477010398962563,0.4516431934360622,0.4439208490293871
2123,Abdalaziz Hazaa,Al Khor,Al Khor,LB,LB,1,25.0,0,2025-06-30,15,1033,Qatar,Qatar,left,186,78,no,5.054094,6.45,3.0483,0.7835119999999999,3.91,QAT,Testing,2025,0.2225164939806847,0.2350101885175829,0.2207034399246802
2124,Homam Al Amin,Al Duhail,Al Duhail,LB,LB,1,25.0,500000,2026-06-30,21,1996,Qatar,"Qatar, Sudan",left,186,77,no,6.765252,6.58,3.606668,0.767922,4.13,QAT,Testing,2025,0.300356814914452,0.3138526883605851,0.2998635666307924
2125,Eisa Ahmed,Qatar SC,Qatar SC,"LB, LWB",LB,1,26.0,275000,,18,1551,Iran,"Iran, Qatar",left,177,70,no,7.485352000000001,9.28,3.77349,0.696,5.86,QAT,Testing,2025,0.5265771618325125,0.5294825511302584,0.523097475814977
2126,Amro Abdelfatah Ali Surag,Al Gharafa,Al Gharafa,"RB, LB",RB,1,27.0,325000,,22,1573,Qatar,"Qatar, Sudan",right,168,60,no,7.154567999999999,8.18,4.346616,0.8598650000000001,5.48,QAT,Testing,2025,0.4712318597166293,0.4805813839187826,0.4704295210276703
2127,Khalifa Saad,Umm Salal,Umm Salal,"RB, RWB",RB,1,27.0,0,2025-06-30,19,1480,Qatar,Qatar,right,172,61,no,6.201153000000001,9.24,4.440589999999999,0.424154,5.11,QAT,Testing,2025,0.4504088650931209,0.4643511405305209,0.4517092873648976
2128,Hazem Shehata,Al Rayyan,Al Rayyan,LB,LB,1,27.0,400000,2025-06-30,20,1672,Qatar,Qatar,left,169,64,no,7.587712,8.67,4.035456,0.6480000000000001,5.87,QAT,Testing,2025,0.5014831942417876,0.5178483795585034,0.5045414903191331
2129,Bassam Al Rawi,Al Duhail,Al Duhail,"RB, RCB",RB,1,27.0,650000,,18,1542,Iraq,"Iraq, Qatar",right,175,73,no,6.361179,6.36,3.20824,1.224,4.17,QAT,Testing,2025,0.2884126497301763,0.2988400941261024,0.2862443294955653
2130,Moufak Awad,Al Shamal,Al Shamal,"LB, RB",LB,1,27.0,225000,2026-06-30,15,922,Qatar,Qatar,right,165,57,no,8.296488,10.35,5.760601,0.78,5.84,QAT,Testing,2025,0.6495920673409169,0.6452983636255873,0.6437607993673593
2131,Husam Hassunin El Said,Al Shahaniya,Al Shahaniya,LB,LB,1,29.0,0,,15,1212,Qatar,Qatar,right,181,75,no,6.239779,8.39,4.532269,0.222,4.86,QAT,Testing,2025,0.4178056633535995,0.4364405849006017,0.4211362055357627
2132,Jassem Mohammed,Al Ahli,Al Ahli,"RB, RWB",RB,1,30.0,0,,19,1856,Qatar,Qatar,right,172,63,no,6.838062,8.29,4.364112,0.7272029999999999,5.34,QAT,Testing,2025,0.4406412139548689,0.4632154614257204,0.4462006489622975
2133,Paulo Otávio,Al Sadd,Al Sadd,LB,LB,1,30.0,3300000,2026-06-30,16,1619,Brazil,Brazil,left,173,68,no,7.838011999999999,9.23,4.501242,0.665,6.93,QAT,Testing,2025,0.5926699914098721,0.608095201010738,0.5962063465396839
2134,Abdulrahman Faiz Al Rashidi,Umm Salal,Umm Salal,"RB, LB, RW",RB,1,30.0,200000,,17,960,Qatar,Qatar,right,177,72,no,8.811468000000001,8.25,5.060403,1.124712,4.12,QAT,Testing,2025,0.4848602749301941,0.4909007218605257,0.4825285320405096
2135,Abdelkarim Hassan,Al Wakrah,Al Wakrah,LB,LB,1,31.0,700000,2027-06-30,13,1103,Qatar,"Qatar, Sudan",left,186,79,no,8.324148000000001,8.4,3.75309,0.8965,5.39,QAT,Testing,2025,0.4851790357411773,0.4944824238595442,0.4844991445730227
2136,Islam Yassine,Al Ahli,Al Ahli,"LB, LWB",LB,1,31.0,175000,,16,1459,Qatar,"Qatar, Egypt",left,0,0,no,6.787391,6.17,2.160255,1.728708,5.54,QAT,Testing,2025,0.3362567653863739,0.3317427736190814,0.3270396541101769
2137,Hilal Mohammed,Al Arabi,Al Arabi,"LB, LWB",LB,1,31.0,350000,2026-06-30,16,1198,Qatar,Qatar,left,167,61,no,5.334091,6.31,3.380518,0.526439,3.63,QAT,Testing,2025,0.2319651958959699,0.2472965070798432,0.2316845223843441
2138,Omar Yahya,Umm Salal,Umm Salal,"LB, LWB",LB,1,32.0,125000,,15,901,Qatar,Qatar,left,171,74,no,5.494905,6.89,2.595558,1.39995,4.6,QAT,Testing,2025,0.2803623945740618,0.296027986333288,0.2807563888068407
2139,Abdullah Marafee,Al Arabi,Al Arabi,"RB, RAMF",RB,1,33.0,200000,,21,1761,Qatar,Qatar,right,165,60,no,5.980898,6.24,3.682228,0.46,2.58,QAT,Testing,2025,0.2271113304452729,0.2403399012650311,0.2257175733774163
2140,Murad Naji Hussein,Al Rayyan,Al Rayyan,RB,RB,1,33.0,150000,2025-06-30,19,1792,Qatar,Qatar,right,174,72,no,3.567858,5.42,1.910259,0.7559999999999999,5.0,QAT,Testing,2025,0.1864917698439928,0.1859574998489699,0.1777201776620527
2141,Ali Hassan Afif,Umm Salal,Umm Salal,"LB, LWB",LB,1,37.0,50000,,17,1012,Qatar,"Qatar, Tanzania",left,173,73,no,6.22573,7.11,3.292275,0.18,4.51,QAT,Testing,2025,0.317949223529726,0.3299403530240472,0.3168795920954754
2142,Mario Camora,CFR Cluj,CFR Cluj,LB,LB,1,38.0,350000,2025-06-30,26,2225,Portugal,"Portugal, Romania",left,177,69,no,7.041258,9.14,4.24842,0.76908,5.68,ROM,Testing,2025,0.5223785885801275,0.5248007278823666,0.518610874739777
2143,C. Toma,Unirea Slobozia,Unirea Slobozia,LB,LB,1,38.0,50000,,22,1404,Romania,Romania,left,0,0,no,7.37268,8.01,4.297632,0.706052,4.47,ROM,Testing,2025,0.4164670407362738,0.4283864420238692,0.4163907426768206
2144,V. Crețu,FCS Bucureşti,FCS Bucureşti,RB,RB,1,36.0,200000,2025-06-30,36,2891,Romania,Romania,right,176,71,no,9.9645,10.71,5.725292999999999,1.61784,6.47,ROM,Testing,2025,0.738636604186426,0.7506579849729438,0.7419787004649374
2145,A. Chipciu,Universitatea Cluj,Universitatea Cluj,LB,LB,1,35.0,450000,2025-06-30,36,3502,Romania,Romania,right,177,71,no,9.099823,9.05,4.057440000000001,0.949554,6.99,ROM,Testing,2025,0.6221072850211048,0.6281010583418416,0.6211862778042675
2146,C. Râpă,UTA Arad,UTA Arad,RB,RB,1,35.0,150000,,26,1762,Romania,Romania,right,180,72,no,7.40629,9.91,4.5983,1.224,5.54,ROM,Testing,2025,0.5567674282692261,0.5655048637279151,0.5565497465866832
2147,A. Țigănașu,Botoşani,Botoşani,"LB, LCB",LB,1,34.0,300000,,16,1301,Romania,Romania,left,179,74,no,8.162804,10.24,4.913892000000001,1.59219,7.22,ROM,Testing,2025,0.68984799550214,0.697416765828745,0.6904306490661645
2148,C. Braun,Rapid Bucureşti,Rapid Bucureşti,"RB, LB",RB,1,33.0,700000,2026-06-30,24,2013,Germany,"Germany, Ghana",right,181,76,no,8.4513,8.05,4.64808,1.028925,4.29,ROM,Testing,2025,0.4664103478415343,0.4705260338160523,0.4629133538223847
2149,R. Radunović,FCS Bucureşti,FCS Bucureşti,LB,LB,1,33.0,1300000,2027-06-30,31,2812,Montenegro,Montenegro,left,183,77,no,7.871872000000001,8.26,4.195715,0.705,6.26,ROM,Testing,2025,0.52994657975121,0.5359900824996722,0.5280875605813896
2150,Diego Ferraresso,AS FC Buzău,AS FC Buzău,"LB, RB",LB,1,32.0,100000,2025-06-30,22,1810,Brazil,"Brazil, Bulgaria",right,171,71,no,9.099595999999998,8.4,4.521115,1.043,5.19,ROM,Testing,2025,0.5237722713406088,0.5366612617760276,0.5253072404583071
2151,C. Ganea,Farul Constanţa,Farul Constanţa,"LB, LWB",LB,1,32.0,400000,,39,3726,Romania,"Romania, Spain",left,176,72,no,7.025999999999999,9.2,3.671226,0.870426,7.02,ROM,Testing,2025,0.5599131269310881,0.5666229825403396,0.558703935092117
2152,N. Bancu,Universitatea Craiova,Universitatea Craiova,LB,LB,1,32.0,1500000,2028-06-30,36,3384,Romania,Romania,left,178,65,no,8.26965,9.41,4.358967,0.876804,7.19,ROM,Testing,2025,0.6173295351569582,0.6299410490707076,0.6197020475342995
2153,L. Dumitriu,Petrolul 52,Petrolul 52,LB,LB,1,32.0,300000,2026-06-30,20,1813,Romania,Romania,right,180,76,no,6.897775999999999,7.69,3.625194,0.9416399999999999,5.81,ROM,Testing,2025,0.4249744475434315,0.4395694650777089,0.4263388462083181
2154,V. Mogoș,Universitatea Craiova,Universitatea Craiova,RB,RB,1,32.0,900000,,26,1476,Romania,"Romania, Italy",right,186,84,no,9.269218,9.15,4.146874,2.255455,6.68,ROM,Testing,2025,0.642829554775886,0.6560648852083076,0.6457837260647558
2155,M. Zhelev,Oţelul,Oţelul,"RB, LB",RB,1,31.0,600000,2025-06-30,17,1470,Bulgaria,Bulgaria,right,180,76,no,7.105033,9.12,3.613848,1.222796,6.84,ROM,Testing,2025,0.5516942071116601,0.55634653393627,0.5493596068459066
2156,D. Graovac,CFR Cluj,CFR Cluj,"RB, RCB",RB,1,31.0,400000,2025-06-30,17,1100,Bosnia and Herzegovina,"Bosnia and Herzegovina, Croatia",right,185,73,no,10.555655,10.47,5.812434999999999,2.537568,5.81,ROM,Testing,2025,0.7622063047055935,0.7692893739510064,0.7632997589905317
2157,Ricardinho,Petrolul 52,Petrolul 52,RB,RB,1,31.0,500000,2026-06-30,35,3254,Portugal,Portugal,right,179,74,no,8.297786,9.15,4.118931,1.629313,6.62,ROM,Testing,2025,0.594287093566913,0.6049543814850871,0.5954365259597026
2158,M. Adăscăliței,Poli Iaşi,Poli Iaşi,RB,RB,1,30.0,250000,2025-06-30,33,1659,Romania,Romania,right,180,71,no,9.44,8.9,4.015692,2.226724,5.96,ROM,Testing,2025,0.6139492661342462,0.6246966637213699,0.6153446538551253
2159,D. Dussaut,UTA Arad,UTA Arad,"RB, LB",RB,1,30.0,450000,,14,1029,France,"France, Martinique",right,182,70,no,8.745528,10.5,4.898557,1.4016,6.26,ROM,Testing,2025,0.6680505104605088,0.6747059419599288,0.667943924897179
2160,R. Tsouka,UTA Arad,UTA Arad,RB,RB,1,30.0,250000,2025-06-30,19,1632,France,"France, Congo",right,181,74,no,6.894435000000001,10.31,4.02752,0.9373800000000001,6.6,ROM,Testing,2025,0.6001057572466337,0.5984466405241141,0.595088386676635
2161,D. Dumitrașcu,AS FC Buzău,AS FC Buzău,"LB, LAMF",LB,1,30.0,300000,2025-06-30,23,1476,Romania,Romania,left,182,72,no,7.256712,7.44,3.777687999999999,1.890258,4.32,ROM,Testing,2025,0.3961240821334235,0.4050626674935688,0.3943292038908486
2162,M. Căpățînă,Universitatea Craiova,Universitatea Craiova,"RB, LDMF",RB,1,29.0,800000,2027-06-30,20,1017,Romania,Romania,right,177,75,no,5.489036,8.05,3.01,0.3538549999999999,6.55,ROM,Testing,2025,0.4433373932972309,0.4459343283930249,0.4388319612120655
2163,Miguel Silva,Oţelul,Oţelul,LB,LB,1,29.0,400000,2025-06-30,27,2470,Portugal,Portugal,left,191,78,no,11.803505,10.28,5.20965,2.477547,7.04,ROM,Testing,2025,0.823202630758961,0.832599756777381,0.8261026545253249
2164,F. Ștefan,Sepsi,Sepsi,"LB, LW, LCB",LB,1,29.0,700000,,33,2658,Romania,Romania,left,183,72,no,7.078816000000001,8.94,3.69272,1.051362,6.01,ROM,Testing,2025,0.5061283230965465,0.5066158026299128,0.5012133448236075
