Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
42,R. Atencio,Independiente Rivadavia,Independiente Rivadavia,"RW, RCMF, RWF",RW,10,23,0,2029-12-31,16,762,Argentina,Argentina,left,175,68,no,2.363152,1.65,0.9428099999999999,0.24,0.71,0.1,0.11817,0.0,0.29,2.01,1.54,0.24,0.71,ARG1,Testing,2026,0.3808074684912932,0.3258360287335897,0.3533217486124414
43,D. Zalazar,Banfield,Banfield,"RW, RCMF, RAMF",RW,10,24,0,2027-12-31,12,783,Argentina,Argentina,left,179,76,yes,3.562992,1.61,1.952514,0.0,1.38,0.19,0.8038299999999999,3.704,0.19,1.26,0.46,1.03,0.57,ARG1,Testing,2026,0.3769106640750318,0.3982402998121258,0.3875754819435787
44,J. Gutiérrez,Defensa y Justicia,Defensa y Justicia,"LW, CF, LWF",LW,10,24,650000,2026-06-30,16,1407,Uruguay,"Uruguay, Italy",right,177,68,yes,3.32694,3.07,1.472064,0.77,2.69,0.21,0.7040000000000001,12.0,0.08,0.51,0.19,0.13,0.26,ARG1,Testing,2026,0.3303052243362323,0.342646661702121,0.3364759430191767
45,F. Molina,Gimnasia Jujuy,Gimnasia Jujuy,"LAMF, LW, AMF",LAMF,10,35,50000,,17,1269,Argentina,Argentina,left,178,75,no,5.957888000000001,2.41,4.395799999999999,0.28,3.4,0.2,1.276392,6.818,0.32,2.27,0.64,2.34,1.13,ARG2,Testing,2026,0.6586777622962403,0.6776918923521079,0.6681848273241741
46,J. Ferrero,San Miguel,San Miguel,"RW, CF",RW,10,34,0,,18,1144,Argentina,Argentina,right,176,71,no,2.91102,2.67,1.575,0.24,2.44,0.13,0.55,7.143,0.07,0.79,0.47,0.79,0.47,ARG2,Testing,2026,0.3153699744221468,0.3127794185672298,0.3140746964946883
47,J. Aguirre,Gimnasia y Tiro,Gimnasia y Tiro,"LW, LB, LAMF",LW,10,34,150000,2026-12-31,14,1137,Argentina,Argentina,left,174,74,no,3.086856,1.42,1.898548,0.63,2.3,0.05,0.2375,8.333,0.17,1.35,0.63,1.82,0.55,ARG2,Testing,2026,0.3550765869967277,0.3594633529021667,0.3572699699494472
48,M. Cuero,Deportivo Madryn,Deportivo Madryn,"RAMF, RW",RAMF,10,33,250000,2026-12-31,12,719,Colombia,Colombia,right,178,76,no,4.379355,1.25,3.253286,0.63,1.25,0.03,0.25,25.0,0.1,0.75,0.25,0.88,0.38,ARG2,Testing,2026,0.3611538045340609,0.3527793951443051,0.356966599839183
49,N. Solís,Deportivo Madryn,Deportivo Madryn,"LW, CF, LCMF",LW,10,32,225000,2026-12-31,17,1487,Argentina,Argentina,left,170,70,no,2.724287,0.61,0.7275,0.18,1.27,0.07,0.4832,4.0,0.22,1.45,0.42,0.73,0.36,ARG2,Testing,2026,0.3143819743601969,0.2911391809694287,0.3027605776648128
50,Á. González,Ferro Carril Oeste,Ferro Carril Oeste,"RW, RAMF",RW,10,32,300000,2026-12-31,15,1019,Argentina,"Argentina, Italy",right,170,68,no,3.356384,2.91,2.031702,0.97,1.59,0.2,0.5307249999999999,15.385,0.14,1.24,0.88,1.15,0.62,ARG2,Testing,2026,0.4490996589044445,0.4482286938812869,0.4486641763928657
51,G. Sánchez,Ciudad de Bolívar,Ciudad de Bolívar,"RW, RAMF, LAMF",RW,10,31,0,2026-12-31,16,1137,Argentina,Argentina,right,177,0,no,1.9796,2.37,0.9507929999999999,0.63,3.09,0.26,0.55593,17.647,0.04,0.47,0.79,0.63,0.32,ARG2,Testing,2026,0.3826260930332475,0.3824295905194351,0.3825278417763412
52,L. Ciccolini,Defensores de Belgrano,Defensores de Belgrano,"RAMF, LAMF, AMF",RAMF,10,31,275000,2026-12-31,18,896,Argentina,Argentina,right,175,68,yes,7.033492,0.8,3.616665,0.3,1.81,0.11,0.503283,13.333,0.06,1.1,1.1,0.9,0.5,ARG2,Testing,2026,0.3568301730166124,0.3548947361030348,0.3558624545598236
53,M. Mosqueira,Agropecuario,Agropecuario,"RW, RAMF",RW,10,30,0,2026-12-31,18,1310,Argentina,Argentina,right,175,0,no,5.084304,1.44,1.786032,0.48,2.61,0.18,0.9625,2.5,0.1,1.17,0.96,1.58,0.62,ARG2,Testing,2026,0.4162092061042567,0.3928788881270122,0.4045440471156344
54,J. Juárez,San Martín Tucumán,San Martín Tucumán,"RW, RCMF, RB",RW,10,30,0,2026-12-31,14,734,Argentina,Argentina,right,170,63,no,3.188139,1.23,1.3475,1.1,1.23,0.06,0.3675,0.0,0.11,0.98,0.37,1.1,0.49,ARG2,Testing,2026,0.263339570017025,0.2472541229239653,0.2552968464704951
55,E. Acosta,Estudiantes Caseros,Estudiantes Caseros,"LW, LWF",LW,10,29,375000,,14,867,Argentina,Argentina,left,182,74,no,1.764171,1.97,0.728052,0.1,1.87,0.18,0.725,21.429,0.1,1.45,1.14,1.04,0.73,ARG2,Testing,2026,0.519778515985712,0.4933253360603727,0.5065519260230422
56,M. Gutiérrez,Ciudad de Bolívar,Ciudad de Bolívar,"LW, LAMF, LWF",LW,10,29,0,2026-12-31,14,774,Argentina,Argentina,left,170,0,no,1.86,2.56,0.6971080000000001,0.0,1.4,0.19,0.465408,27.273,0.09,0.93,0.58,1.16,0.47,ARG2,Testing,2026,0.4476049578975608,0.4400999815747212,0.443852469736141
57,D. Gallardo,Gimnasia Jujuy,Gimnasia Jujuy,"RAMF, RW",RAMF,10,29,200000,2026-12-31,15,1202,Argentina,Argentina,right,180,76,yes,3.817264,2.47,2.246774,0.52,2.32,0.17,0.375,10.0,0.11,1.2,0.97,0.75,0.67,ARG2,Testing,2026,0.3747288718478841,0.355224999481394,0.364976935664639
58,E. Purita,All Boys,All Boys,"RW, RAMF, RCMF",RW,10,29,200000,2026-12-31,17,1265,Argentina,"Argentina, Italy",right,169,69,no,2.774432,0.64,0.7827350000000002,0.21,0.78,0.06,0.497792,5.556,0.11,1.14,0.57,0.78,0.0,ARG2,Testing,2026,0.2629704263011693,0.2291356758287084,0.2460530510649388
