Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Passes criativos (p90),xT Passes no último terço (p90),xT Passes para último terço (p90),xT Passes (p90),xT Cruzamentos (p90)
BRA1,2024,436566.0,Maguinho,Atletico GO,1743.0,DR,Lateral,Lateral,0.5963429580005771,0.2043148693884471,-0.3910208749864568,-0.1420634825307987,0.5169790809347623
BRA1,2024,439642.0,Nathan Mendes,Red Bull Bragantino,1310.0,DR,Lateral,Lateral,-0.9929260936883456,-0.8863911760006143,-0.3623693059104784,-0.8687146036784963,-1.535020608504976
BRA1,2024,453459.0,Guilherme Romão,Atletico GO,3108.0,DL,Lateral,Lateral,-0.1444197742270596,-0.1626835315560587,-0.0651844355701908,-0.3642302065345823,-0.0116832487491452
BRA1,2024,468000.0,Kaiki,Cruzeiro,1318.0,DL,Lateral,Lateral,-1.2294514451732912,-0.6508472092485605,-0.5985590955982847,-0.6476849166339745,-0.6619015316251692
BRA1,2024,468006.0,Matheus Bidu,Corinthians,1718.0,DL,Lateral,Lateral,-0.0711635064983722,-0.0184453608068197,-0.1234372709777137,0.3175849489827462,0.0261526047897464
BRA1,2024,472116.0,Cuiabano,Gremio,1847.0,DL,Lateral,Lateral,-1.6438678219023863,0.5000711688461068,-0.3083346615700026,-0.4912901799299253,1.5648102477579937
BRA1,2024,479765.0,Gabriel Inocêncio,Juventude,1038.0,DL,Lateral,Lateral,-1.0824828831811113,-1.441019385889002,-0.860748301598102,-1.241244393014873,-1.0468343867161878
BRA1,2024,484252.0,Mateo Ponte,Botafogo RJ,1272.0,DR,Lateral,Lateral,-0.4325433147101605,-0.6674291542751704,-1.002221891945874,-1.2649567140451563,-0.447754361925067
BRA1,2024,513492.0,Claudinho,Criciuma,2288.0,DR,Lateral,Lateral,1.8527314358523297,-0.6457748384222989,-0.4025699908999833,-0.1891291717999284,-0.9575848266953486
BRA1,2024,514432.0,Railan,Cuiaba,1376.0,DR,Lateral,Lateral,-1.5039224106623228,-1.1470177562075876,-0.3207594339676137,-0.927900969088762,-0.5330801898291042
BRA1,2024,14058.0,Dimitri Payet,Vasco da Gama,1348.0,AMC,Meio Campo,Meia,0.9242247452054424,1.2713693105707216,-0.0826856827070122,0.8564845465892788,2.640440702041124
BRA1,2024,14195.0,Nenê,Juventude,1657.0,AMC,Meio Campo,Meia,0.8966750167912986,0.4167837812007796,-0.4263686047206991,-0.5419004355466513,1.9553117542685885
BRA1,2024,17476.0,Zé Rafael,Palmeiras,1117.0,DMC,Meio Campo,Primeiro Volante,-0.1948161378745837,-0.6709472783680569,-0.1025972477544202,-0.6284809303938307,-0.7341805310610192
BRA1,2024,19119.0,Fernandinho,Athletico Paranaense,1746.0,DMC,Meio Campo,Primeiro Volante,1.8098123458581608,0.7825337740994357,3.882434426386834,1.7979817303336445,0.0594400257013897
